source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
UNHCR,UN body,669,288,137,93,-381,-44
United Nations,UN body,199,50,90,31,-149,-59
Amnesty International,international NGO,145,57,62,31,-88,-31
UNICEF,UN body,117,39,67,29,-78,-38
Freedom House,international NGO,119,41,51,25,-78,-26
Human Rights Watch,international NGO,116,50,60,40,-66,-20
International Committee of the Red Cross,international NGO,66,9,62,8,-57,-54
Council of Europe,intergovernmental,64,7,35,7,-57,-28
UNFPA,UN body,44,4,14,2,-40,-12
World Health Organization,UN body,30,2,26,2,-28,-24
International Organization for Migration,UN body,50,22,47,21,-28,-26
World Bank,IFI,53,30,43,28,-23,-15
Transparency International,international NGO,25,3,18,3,-22,-15
Organization for Security and Cooperation in Europe,intergovernmental,19,0,18,0,-19,-18
Ministry of Justice,named (unclassified),24,6,18,5,-18,-13
European Union,intergovernmental,20,2,16,2,-18,-14
European Court of Human Rights,judicial,29,12,22,8,-17,-14
Ombudsperson Institution,named (unclassified),12,1,1,1,-11,0
Ministry of Interior,named (unclassified),11,1,10,1,-10,-9
UN Women,UN body,11,1,11,1,-10,-10
International Labor Organization,UN body,93,83,79,75,-10,-4
African Union,intergovernmental,11,2,11,2,-9,-9
Foro Penal,named (unclassified),10,1,1,1,-9,0
UNESCO,UN body,7,0,7,0,-7,-7
Media and NGOs,named (unclassified),8,1,7,1,-7,-6
Office of the UN High Commissioner for Human Rights,UN body,12,5,11,5,-7,-6
Ministry of Health,named (unclassified),9,2,8,2,-7,-6
Organization of American States,intergovernmental,6,0,5,0,-6,-5
One NGO,named (unclassified),6,0,6,0,-6,-6
High Commissioner for Human Rights,named (unclassified),5,0,4,0,-5,-4
International Criminal Court,judicial,6,1,6,1,-5,-5
White Helmets,named (unclassified),5,0,1,0,-5,-1
Antisemitism Observers,named (unclassified),5,0,5,0,-5,-5
World Food Program,UN body,8,3,8,3,-5,-5
Racism and Intolerance,named (unclassified),5,0,4,0,-5,-4
Reporters Without Borders,international NGO,32,27,28,21,-5,-7
Pressure Journalists,named (unclassified),0,5,0,5,5,5
National Commission,named (unclassified),5,0,1,0,-5,-1
National Security Forum,named (unclassified),5,1,1,1,-4,0
Advocacy Forum,named (unclassified),4,0,1,0,-4,-1
Ministry of Foreign Affairs,named (unclassified),4,0,4,0,-4,-4
Internal Displacement Monitoring Center,named (unclassified),4,0,4,0,-4,-4
Kav LaOved,named (unclassified),4,0,1,0,-4,-1
Coalition Margini,named (unclassified),4,0,1,0,-4,-1
UN Panel of Experts,named (unclassified),4,0,3,0,-4,-3
Socorro Jurídico Humanitario,named (unclassified),4,0,1,0,-4,-1
Rebel Groups Journalists,named (unclassified),0,4,0,4,4,4
Omani Centre for Human Rights,named (unclassified),4,0,1,0,-4,-1
UN Working Group on Discrimination Against Women and Girls,named (unclassified),4,0,1,0,-4,-1
Cabo Delgado Province,named (unclassified),3,0,1,0,-3,-1
Another NGO,named (unclassified),3,0,3,0,-3,-3
Ministry of Internal Affairs,named (unclassified),4,1,2,1,-3,-1
A Turkish Cypriot NGO,named (unclassified),3,0,1,0,-3,-1
Department of Labor,named (unclassified),3,0,2,0,-3,-2
High Court,named (unclassified),3,0,2,0,-3,-2
Privacy International,named (unclassified),3,0,2,0,-3,-2
Ministry of Labour and Employment,named (unclassified),3,0,1,0,-3,-1
Ministry of Public Security,named (unclassified),3,0,2,0,-3,-2
Inter-American Commission on Human Rights,named (unclassified),3,0,3,0,-3,-3
International Monetary Fund,IFI,10,7,9,7,-3,-2
International Trade Union Confederation,named (unclassified),5,2,5,2,-3,-3
UN Population Fund,named (unclassified),6,3,6,3,-3,-3
Mothers Association,named (unclassified),3,0,1,0,-3,-1
Sixth Tone,named (unclassified),3,0,1,0,-3,-1
Turkmen News,named (unclassified),0,3,0,1,3,1
Freedom Initiative,named (unclassified),3,0,1,0,-3,-1
Ministry of Education,named (unclassified),3,0,3,0,-3,-3
Rule of Law Report,named (unclassified),4,1,3,1,-3,-2
Kurdistan Human Rights Network,named (unclassified),3,0,1,0,-3,-1
In February RFA,named (unclassified),3,0,1,0,-3,-1
Labor Ministry,named (unclassified),3,1,3,1,-2,-2
NGO Ezgulik,named (unclassified),2,0,1,0,-2,-1
Queer Cyprus Association,named (unclassified),2,0,1,0,-2,-1
Public Ministry,named (unclassified),5,3,2,1,-2,-1
Commissioner for Human Rights,named (unclassified),2,0,2,0,-2,-2
Penal System Association,named (unclassified),2,0,1,0,-2,-1
Fundación GAAT,named (unclassified),2,0,1,0,-2,-1
