source,source_type,mentions,countries,confidence
journalists,unnamed/generic,946,140,low
ngos,unnamed/generic,394,123,low
UNHCR,UN body,288,93,high
activists,unnamed/generic,278,80,low
trade union,unnamed/generic,238,103,low
ngo,unnamed/generic,221,92,low
trade unions,unnamed/generic,209,103,low
media outlets,unnamed/generic,194,91,low
observers,unnamed/generic,134,79,low
journalist,unnamed/generic,128,68,low
experts,unnamed/generic,124,81,low
nongovernmental organizations,unnamed/generic,93,87,low
human rights organizations,unnamed/generic,93,34,low
labor unions,unnamed/generic,86,52,low
International Labor Organization,UN body,83,75,high
human rights defenders,unnamed/generic,81,45,low
civil society organizations,unnamed/generic,80,50,low
media reports,unnamed/generic,64,33,low
human rights activists,unnamed/generic,59,40,low
human rights groups,unnamed/generic,58,37,low
activist,unnamed/generic,58,40,low
Amnesty International,international NGO,57,31,high
independent trade unions,unnamed/generic,51,40,low
Human Rights Watch,international NGO,50,40,high
United Nations,UN body,50,31,high
Freedom House,international NGO,41,25,high
nongovernmental organization,unnamed/generic,40,40,low
UNICEF,UN body,39,29,high
civil society groups,unnamed/generic,37,23,low
World Bank,IFI,30,28,high
labor union,unnamed/generic,29,26,low
Reporters Without Borders,international NGO,27,21,high
independent media outlets,unnamed/generic,26,15,low
independent journalists,unnamed/generic,23,17,low
International Organization for Migration,UN body,22,21,high
local ngos,unnamed/generic,19,15,low
international ngos,unnamed/generic,18,17,low
media outlet,unnamed/generic,18,17,low
academic,unnamed/generic,17,11,low
Committee to Protect Journalists,international NGO,16,16,high
academics,unnamed/generic,16,12,low
European Court of Human Rights,judicial,12,8,high
human rights organization,unnamed/generic,12,9,low
international trade union,unnamed/generic,11,10,low
local ngo,unnamed/generic,11,9,low
independent labor unions,unnamed/generic,11,10,low
human rights activist,unnamed/generic,11,10,low
international observers,unnamed/generic,11,9,low
local journalists,unnamed/generic,10,9,low
international ngo,unnamed/generic,10,9,low
independent journalist,unnamed/generic,9,7,low
International Committee of the Red Cross,international NGO,9,8,high
human rights defender,unnamed/generic,8,8,low
international human rights organizations,unnamed/generic,8,8,low
International Monetary Fund,IFI,7,7,high
local human rights organizations,unnamed/generic,7,6,low
an ngo,unnamed/generic,7,3,low
Council of Europe,intergovernmental,7,7,high
civil society organization,unnamed/generic,7,7,low
international media outlets,unnamed/generic,7,7,low
international nongovernmental organizations,unnamed/generic,6,6,low
Ministry of Justice,named (unclassified),6,5,medium
local observers,unnamed/generic,6,6,low
international nongovernmental organization,unnamed/generic,6,6,low
international human rights groups,unnamed/generic,6,4,low
press reports,unnamed/generic,6,6,low
Ministry of Labor,named (unclassified),6,6,medium
Solidarity Center,named (unclassified),5,2,medium
Office of the UN High Commissioner for Human Rights,UN body,5,5,high
Pressure Journalists,named (unclassified),5,5,medium
local nongovernmental organizations,unnamed/generic,5,5,low
local activists,unnamed/generic,5,5,low
independent trade union,unnamed/generic,4,4,low
local human rights groups,unnamed/generic,4,3,low
UNFPA,UN body,4,2,high
independent observers,unnamed/generic,4,4,low
Rebel Groups Journalists,named (unclassified),4,4,medium
Ligue Iteka,named (unclassified),4,1,medium
local civil society organizations,unnamed/generic,4,4,low
expert,unnamed/generic,3,3,low
High Commissioner for Human Rights (OHCHR),named (unclassified),3,3,medium
Ministry of Labour,named (unclassified),3,2,medium
independent media outlet,unnamed/generic,3,3,low
local human rights organization,unnamed/generic,3,3,low
local trade unions,unnamed/generic,3,2,low
Transparency International,international NGO,3,3,high
World Food Program,UN body,3,3,high
Bar Association,named (unclassified),3,3,medium
World Economics,named (unclassified),3,3,medium
Safeguard Defenders,named (unclassified),3,1,medium
World Jewish Congress,named (unclassified),3,3,medium
UN Population Fund,named (unclassified),3,3,medium
civil society group,unnamed/generic,3,2,low
Public Ministry,named (unclassified),3,1,medium
Ministry of Labor and Social Protection,named (unclassified),3,1,medium
UN Commission on Human Rights in South Sudan,named (unclassified),3,1,medium
Supreme Court,named (unclassified),3,2,medium
Turkmen News,named (unclassified),3,1,medium
SR Bennett,named (unclassified),2,1,medium
local journalist,unnamed/generic,2,2,low
UN Security Council,named (unclassified),2,2,medium
International Trade Union Confederation,named (unclassified),2,2,medium
Involuntary Disappearances,named (unclassified),2,2,medium
Punishment (CPT),named (unclassified),2,2,medium
human rights monitors,unnamed/generic,2,2,low
local media outlets,unnamed/generic,2,2,low
domestic media outlets,unnamed/generic,2,2,low
domestic observers,unnamed/generic,2,2,low
Ministry of Health,named (unclassified),2,2,medium
Ministry of Law,named (unclassified),2,1,medium
independent ngos,unnamed/generic,2,2,low
independent experts,unnamed/generic,2,2,low
human rights group,unnamed/generic,2,2,low
domestic nongovernmental organization,unnamed/generic,2,2,low
Confederation of Independent Trade Unions of Bulgaria,named (unclassified),2,1,medium
UN High Commissioner for Human Rights (OHCHR),named (unclassified),2,2,medium
domestic ngos,unnamed/generic,2,2,low
Application of Standards,named (unclassified),2,1,medium
Journalists and NGOs,named (unclassified),2,1,medium
Observers and NGOs,named (unclassified),2,2,medium
Human Rights Division,named (unclassified),2,1,medium
observer,unnamed/generic,2,2,low
National Human Rights Commission,named (unclassified),2,2,medium
international media reports,unnamed/generic,2,2,low
Addis Standard,named (unclassified),2,1,medium
Al Jazeera,named (unclassified),2,2,medium
Washington Post,named (unclassified),2,2,medium
local nongovernmental organization,unnamed/generic,2,2,low
Ministry of Human Rights,named (unclassified),2,1,medium
National Human Rights Commission (NHRC),named (unclassified),2,2,medium
New York Times,named (unclassified),2,2,medium
Alliance of Independent Journalists,named (unclassified),2,1,medium
Abdorrahman Boroumand Center,named (unclassified),2,1,medium
NGO Independent Medico Legal Unit,named (unclassified),2,1,medium
Ministry of Public Health,named (unclassified),2,1,medium
Trades Union Congress,named (unclassified),2,1,medium
European Union,intergovernmental,2,2,high
European Commission,named (unclassified),2,2,medium
Mozambican Bar Association,named (unclassified),2,1,medium
NGO Advocacy Forum,named (unclassified),2,1,medium
domestic nongovernmental organizations,unnamed/generic,2,2,low
White Paper,named (unclassified),2,1,medium
Post Courier,named (unclassified),2,1,medium
National Institute of Statistics,named (unclassified),2,2,medium
World Press Freedom Index,named (unclassified),2,1,medium
Center for Law of Armed Conflict,named (unclassified),2,1,medium
African Union,intergovernmental,2,2,high
Middle East Eye,named (unclassified),2,1,medium
UN Working Group on Arbitrary Detention,named (unclassified),2,2,medium
some ngos,unnamed/generic,2,2,low
Ministry of Employment and Labor,named (unclassified),2,1,medium
Fact-Finding Mission,named (unclassified),2,1,medium
World Health Organization,UN body,2,2,high
Protection of Journalists (CPJ),named (unclassified),1,1,medium
Center (AFJC),named (unclassified),1,1,medium
Zabihullah Mujahid,named (unclassified),1,1,medium
Institute for Activism and Social Change,named (unclassified),1,1,medium
General Directorate of Prisons (GDP),named (unclassified),1,1,medium
